Property,text
Literatur,"Juliane Tatarinov, Kriminalisierung des Ambulanten Gewerbes: Zigeuner- und Wandergewerbepolitik im späten Kaiserreich und in der Weimarer Republik (Frankfurt a.M.: Peter Lang 2015); Horst Rössler, ‘Herumziehende Leute – Wandergewerbetreibende und Warenhändler im Elbe-Weser-Dreieck im 19. Jahrhundert’, in Verein der Freunde des Archivs für Heimatforschung Rotenburg (Wümme) e.V. Rotenburger Schriften, vol 98, (Heidenau: Verein der Freunde des Archivs für Heimatforschung Rotenburg (Wümme) e.V 2018),  89–127."
Ausstellungen / Aufführungen / Veröffentlichungen,X
Objekt- oder Werkteil,X
Rechte / Lizenzen,X
Digitalisat-Link/Pfad,https://zs.thulb.uni-jena.de/rsc/viewer/jportal_derivate_00270612/27WEA0117000598_08706.tif 
Metadaten-Status,X
Erfasst von,Verena Meier
Erfassungsdatum,7/29/2025
Kommentar / Anmerkung,X
Versionsgeschichte,X
nodeType,LegalText
