Property,text
Narrative / Diskurse,"Orientalismus/Exotismus: Die Ausstellung L'Andalousie au temps des Maures rekurriert in Form eines ""historischen Rundgangs"" durch architektonische Imagerien aus Gips und Pappmachée auf  kursierende Vorstellungsbilder eines orientalisierten Andalusiens am Rande Europas. Im Kontext dieser Vorstellungsbilder wurden die von der französischen Mehrheitsgesellschaft als Gitans/Gitanes fremdbezeichneten spanischstämmigen Rom*nja und insbesondre ihre weiblichen Vertreterinnen als zentrale Aushandlungsfiguren des ,Fremden‘ und ,Exotischen‘ funktionalisiert. Die Faszination für diese Projektionsfiguren spiegelt sich im Programm der als kommerzielles Publikumsspektakel konzepualisierten Ausstellung wider, das neben Handleserei/Wahrsagerei Flamenco-Auftritte spanischer Rom*nja, Aufführungen von Z-Hochzeiten und Kunsthandwerk spanischer Rom*nja anbietet. 
Kolonialismus: Die in der Ausstellung reproduzierten  Vorstellungsbilder und Darstellungsweisen affirmieren im Kontext der Weltausstellung imperiale Hegemonie- und Hierarchiekonstruktionen. Zivilisatorische Überlegenheit wird insbesondere über abwertende Darstellungen von alterisierten Mauren und Gitans/Gitanes  demonstriert. Sie beinhalten Elemente von Irrationalität, Feminität, Sensualität oder Zivilisationsferne und schreiben die konstruieren Gruppen als fremd und nicht-europäisch fest. Für die Ausstellung wurden Statisten aus dem nordafrikanischen Kolonialgebiet als Mauren-Darsteller*innen engagiert. Ein weiterer Kolonialismus-Bezug besteht durch die Mitbeteiligung der Société des Peintres Orientalistes Français an der Ausstellung. Sie war wichtiges politisches Instrument zur Gestaltung der visuellen Identität der französischen Kolonien und wurde vom französischen Kolonialministerium unterstützt. "
Historischer Kontext,"Unter dem Motto Le bilan d'un siècle (Bilanz eines Jahrhunderts) fand vom 15.04.–12.11.1900 auf dem Höhepunkt der Belle Époque in Paris die mit ca. fünfzig Millionen Besucher*innen bis dato erfolgreichste Weltausstellung (Exposition universelle et internationale de Paris) statt.
Um die Idee einer herkömmlichen Weltausstellung zu steigern und eine Bilanz der Fortschritte in Kunst, Wissenschaft und Technik des vergangenen Jahrhunderts zu präsentieren, wurde die Ausstellung als Jahrmarkt-ähnliches Spektakel mit Schwerpunkt auf bühnenhafter Illusion, Zerstreuung und kurzlebigen Attraktionen für ein sensationshungriges Publikum inszeniert. Diese Spektakularisierung der Wissensvermittlung ging einher mit einer rücksichtlosen Alterisierung kolonialisierter Kulturen und anderer Minderheiten."
Agency,"Für die verschiedenen Publikumsattraktionen der Ausstellung L'Andalousie au temps des Maures wurden Rom*nja aus Spanien gegen Bezahlung engagiert. Eine der Hauptattraktionen der Ausstellung war die Tanzgruppe des «Capitan de Grenade et sa troupe», die auf der Pariser Weltausstellung von 1889 große Bekanntheit erlangt hatte und danach auf Tourneen ging."
Verknüpfung ,Ausstellung L'Andalousie au temps des Maures auf der Weltausstellung 1900 in Paris
Narrativwandel bei Medienwechsel,No data
Rezeptionsweg,No data
Provenienz,No data
Literatur,"Bell, Peter/Suckow, Dirk (2008): Lebenslinien – Das Handlesemotiv und die Repräsentation von ›Zigeunern‹ in der Kunst des Spätmittelalters und der frühen Neuzeit, in: Iulia-Karin Patrut/Herbert Uerlings (Hrsg.): 'Zigeuner' und Nation. Repräsentation - Inklusion - Exklusion. Frankfurt: 493-549.
Benjamin, Roger (2005): Andalusia in the Time of the Moors: Regret and Colonial Presence in Paris, 1900, in: Jocelyn Hackforth-Jones/Mary Roberts (ed.): Edges of Empire Orientalism and Visual Culture. Malden/Oxford/Victoria: 181-205.
Sazatornil Ruiz, Luis (2019): L’Andalousie au temps des maures. La explotación de la imagen artística de Andalucía en París, 1900, in: Rocío Plaza Orellana/Luis Méndez Rodríguez (ed.): Arte y turismo: la identidad andaluza en la configuración cultural de Europa. Sevilla: 137-170."
Ausstellungen / Aufführungen / Veröffentlichungen,No data
Objekt- oder Werkteil,No data
Rechte / Lizenzen,CC0 Paris Musées / Musée Carnavalet – Histoire de Paris
Digitalisat-Link/Pfad,https://parismuseescollections.paris.fr/zh-hans/node/1020153#infos-principales
Metadaten-Status,No data
Erfasst von,"K.v.H., M.W."
Erfassungsdatum,8/7/2025
Kommentar / Anmerkung,No data
Versionsgeschichte,No data
nodeType,Poster
